"c","t","n","sum","max"
"MG02","-120","584","46303","1561"
"MG02","-60","750","58865","1649"
"MG02","0","796","68076","1439"
"MG02","60","732","33685","2277"
"MG02","120","770","60875","1399"
"MG02","180","704","60991","2161"
"MG02","240","814","68647","2158"
"MG02","300","804","69357","2218"
"MG02","360","730","49569","1505"
"MG02","420","688","61027","2172"
"MG02","480","634","34084","1505"
"MG02","540","520","31678","2660"
"MG02","600","508","17530","736"
"MG02","660","584","26496","1082"
"MG02","720","534","22976","1165"
"MG02","780","608","35938","1965"
"MG02","840","606","36200","2241"
"MG02","900","654","34066","1340"
"MG02","960","604","37898","1250"
"MG02","1020","650","50086","2123"
"MG02","1080","436","18883","1260"
"MG02","1140","434","21707","2051"
"MG02","1200","414","12421","604"
"MG02","1260","400","12000","564"
"MG02","1320","450","19515","891"
"MG02","1380","492","19661","1054"
"MG02","1440","464","16241","1230"
"MG02","1500","570","16572","1046"
"MG02","1560","624","29160","1273"
"MG02","1620","780","40920","2354"
"MG02","1680","778","61574","2250"
"MG02","1740","696","55589","1967"
"MG02","1800","724","53262","1549"
"MG02","1860","516","31154","2350"
"MG02","1920","634","29363","1684"
"MG02","1980","566","27011","1753"
"MG02","2040","706","41265","1539"
"MG02","2100","904","77164","3051"
"MG02","2160","526","26362","1961"
"MG02","2220","550","30868","1962"
"MG02","2280","746","58684","3056"
"MG02","2340","806","77326","2015"
"MG02","2400","8","1206","542"
"Tomcat01","-3600","1189","10571","1031"
"Tomcat01","-3540","712","9867","1063"
"Tomcat01","-3480","659","14012","1528"
"Tomcat01","-3420","901","12544","1029"
"Tomcat01","-3360","874","26113","1967"
"Tomcat01","-3300","900","31309","1814"
"Tomcat01","-3240","916","10522","1022"
"Tomcat01","-3180","762","15142","1725"
"Tomcat01","-3120","775","16353","1179"
"Tomcat01","-3060","628","21135","1716"
"Tomcat01","-3000","1059","28315","1151"
"Tomcat01","-2940","791","20059","1712"
"Tomcat01","-2880","978","28726","1217"
"Tomcat01","-2820","671","262324","18716"
"Tomcat01","-2760","858","64336","8412"
"Tomcat01","-2700","902","41310","2855"
"Tomcat01","-2640","786","35801","2161"
"Tomcat01","-2580","1001","22139","1107"
"Tomcat01","-2520","735","14537","1038"
"Tomcat01","-2460","838","21281","1954"
"Tomcat01","-2400","1118","30460","2155"
"Tomcat01","-2340","1013","38522","2073"
"Tomcat01","-2280","809","21584","1665"
"Tomcat01","-2220","1043","43436","1182"
"Tomcat01","-2160","733","28767","2164"
"Tomcat01","-2100","778","22564","1059"
"Tomcat01","-2040","794","26844","1200"
"Tomcat01","-1980","656","17775","1175"
"Tomcat01","-1920","925","22951","2250"
"Tomcat01","-1860","813","192531","12318"
"Tomcat01","-1800","900","137072","10995"
"Tomcat01","-1740","842","367824","19343"
"Tomcat01","-1680","935","27931","1157"
"Tomcat01","-1620","930","168932","6332"
"Tomcat01","-1560","688","36698","4571"
"Tomcat01","-1500","709","13672","1257"
"Tomcat01","-1440","655","20769","1160"
"Tomcat01","-1380","874","28308","1462"
"Tomcat01","-1320","986","30671","2114"
"Tomcat01","-1260","1140","21986","1651"
"Tomcat01","-1200","889","28718","1957"
"Tomcat01","-1140","880","14206","2121"
"Tomcat01","-1080","971","41768","1828"
"Tomcat01","-1020","888","30354","2694"
"Tomcat01","-960","877","18262","1829"
"Tomcat01","-900","736","17792","1143"
"Tomcat01","-840","758","8895","1027"
"Tomcat01","-780","650","21521","1145"
"Tomcat01","-720","769","13044","1070"
"Tomcat01","-660","811","20243","3607"
"Tomcat01","-600","863","31775","3267"
"Tomcat01","-540","821","37008","3937"
"Tomcat01","-480","896","75380","3206"
"Tomcat01","-420","563","26832","2012"
"Tomcat01","-360","583","30925","5074"
"Tomcat01","-300","685","10185","1141"
"Tomcat01","-240","917","23467","1756"
"Tomcat01","-180","701","17839","1114"
"Tomcat01","-120","696","16630","1173"
"Tomcat01","-60","794","30493","1917"
"Tomcat01","0","803","38800","1298"
"Tomcat01","60","672","27139","2282"
"Tomcat01","120","746","36568","1405"
"Tomcat01","180","835","30549","1756"
"Tomcat01","240","865","29781","1490"
"Tomcat01","300","918","37470","2166"
"Tomcat01","360","850","19114","1944"
"Tomcat01","420","674","22076","1126"
"Tomcat01","480","739","27628","2503"
"Tomcat01","540","620","25706","2666"
"Tomcat01","600","749","8213","506"
"Tomcat01","660","594","16980","1484"
"Tomcat01","720","839","16343","1057"
"Tomcat01","780","799","13507","2152"
"Tomcat01","840","784","17467","1553"
"Tomcat01","900","697","15871","1050"
"Tomcat01","960","701","10976","1104"
"Tomcat01","1020","650","30272","2132"
"Tomcat01","1080","577","13040","2059"
"Tomcat01","1140","508","9629","1399"
"Tomcat01","1200","498","5983","594"
"Tomcat01","1260","520","7561","570"
"Tomcat01","1320","542","11589","1154"
"Tomcat01","1380","635","11536","881"
"Tomcat01","1440","685","9313","1062"
"Tomcat01","1500","766","15682","1039"
"Tomcat01","1560","829","10033","1042"
"Tomcat01","1620","937","21726","2359"
"Tomcat01","1680","855","32105","2102"
"Tomcat01","1740","1031","31588","1989"
"Tomcat01","1800","826","30203","1236"
"Tomcat01","1860","755","11666","1112"
"Tomcat01","1920","664","8352","812"
"Tomcat01","1980","987","27454","1758"
"Tomcat01","2040","991","20583","1411"
"Tomcat01","2100","1086","51931","2125"
"Tomcat01","2160","780","15333","1054"
"Tomcat01","2220","747","11421","1038"
"Tomcat01","2280","699","26916","2183"
"Tomcat01","2340","784","33889","2161"
"Tomcat02","-3600","908","4861","392"
"Tomcat02","-3540","776","12877","1046"
"Tomcat02","-3480","687","15368","1253"
"Tomcat02","-3420","838","27310","2317"
"Tomcat02","-3360","880","18865","1770"
"Tomcat02","-3300","978","42873","2697"
"Tomcat02","-3240","904","14109","1031"
"Tomcat02","-3180","802","11684","1024"
"Tomcat02","-3120","720","24381","2042"
"Tomcat02","-3060","962","24980","1058"
"Tomcat02","-3000","979","24894","1168"
"Tomcat02","-2940","751","24954","1413"
"Tomcat02","-2880","1044","50198","2130"
"Tomcat02","-2820","801","475934","24162"
"Tomcat02","-2760","786","69566","8254"
"Tomcat02","-2700","872","47755","4100"
"Tomcat02","-2640","698","25941","1791"
"Tomcat02","-2580","961","29139","1421"
"Tomcat02","-2520","1004","25714","1865"
"Tomcat02","-2460","847","24334","1313"
"Tomcat02","-2400","858","32551","2210"
"Tomcat02","-2340","715","26772","1671"
"Tomcat02","-2280","857","14363","1389"
"Tomcat02","-2220","1058","25521","2080"
"Tomcat02","-2160","859","20881","1277"
"Tomcat02","-2100","652","21640","1605"
"Tomcat02","-2040","818","23634","2094"
"Tomcat02","-1980","846","16596","1091"
"Tomcat02","-1920","892","31180","1198"
"Tomcat02","-1860","955","238054","12260"
"Tomcat02","-1800","861","214830","10043"
"Tomcat02","-1740","883","399888","23590"
"Tomcat02","-1680","984","39041","3241"
"Tomcat02","-1620","985","120757","9363"
"Tomcat02","-1560","940","35507","2318"
"Tomcat02","-1500","716","10902","1023"
"Tomcat02","-1440","778","15994","1653"
"Tomcat02","-1380","906","41602","1942"
"Tomcat02","-1320","877","27866","1084"
"Tomcat02","-1260","1058","15038","1070"
"Tomcat02","-1200","880","24687","1597"
"Tomcat02","-1140","701","17361","1050"
"Tomcat02","-1080","782","48226","4681"
"Tomcat02","-1020","874","42214","1674"
"Tomcat02","-960","769","19536","1616"
"Tomcat02","-900","865","14702","1160"
"Tomcat02","-840","682","17304","1113"
"Tomcat02","-780","673","24140","2258"
"Tomcat02","-720","937","16281","1214"
"Tomcat02","-660","593","19435","2010"
"Tomcat02","-600","809","25496","2567"
"Tomcat02","-540","1017","50113","5526"
"Tomcat02","-480","905","57657","5090"
"Tomcat02","-420","708","56798","3848"
"Tomcat02","-360","632","7560","1112"
"Tomcat02","-300","749","15789","1062"
"Tomcat02","-240","786","21799","1109"
"Tomcat02","-180","677","16603","1055"
"Tomcat02","-120","679","10685","921"
"Tomcat02","-60","660","44442","2285"
"Tomcat02","0","737","40632","1445"
"Tomcat02","60","795","22023","1811"
"Tomcat02","120","884","24450","1100"
"Tomcat02","180","1000","40664","2180"
"Tomcat02","240","932","41799","2164"
"Tomcat02","300","976","29075","1815"
"Tomcat02","360","1016","40969","1573"
"Tomcat02","420","771","19299","2063"
"Tomcat02","480","746","22015","1218"
"Tomcat02","540","613","15396","1053"
"Tomcat02","600","742","12137","1019"
"Tomcat02","660","667","17983","1499"
"Tomcat02","720","746","12069","1079"
"Tomcat02","780","754","23266","1171"
"Tomcat02","840","575","12398","1140"
"Tomcat02","900","694","16042","1348"
"Tomcat02","960","661","20228","1453"
"Tomcat02","1020","641","25578","2052"
"Tomcat02","1080","529","6138","1048"
"Tomcat02","1140","512","12269","912"
"Tomcat02","1200","477","8495","658"
"Tomcat02","1260","713","6909","546"
"Tomcat02","1320","631","7496","554"
"Tomcat02","1380","625","12511","1138"
"Tomcat02","1440","738","13740","1238"
"Tomcat02","1500","787","18637","1955"
"Tomcat02","1560","847","11611","641"
"Tomcat02","1620","919","21501","2045"
"Tomcat02","1680","1085","26229","1642"
"Tomcat02","1740","960","27921","1060"
"Tomcat02","1800","843","21105","1325"
"Tomcat02","1860","801","26563","2099"
"Tomcat02","1920","734","18573","1690"
"Tomcat02","1980","956","14010","1061"
"Tomcat02","2040","1067","34540","1547"
"Tomcat02","2100","899","39665","2213"
"Tomcat02","2160","692","16810","1968"
"Tomcat02","2220","695","13469","1434"
"Tomcat02","2280","688","35999","3284"
"Tomcat02","2340","756","34653","2271"
"Tomcat02","2400","14","163","48"
"Tomcat03","-3600","899","20335","1170"
"Tomcat03","-3540","769","8538","459"
"Tomcat03","-3480","804","11767","1055"
"Tomcat03","-3420","834","20053","2373"
"Tomcat03","-3360","1079","41747","2380"
"Tomcat03","-3300","900","19437","2461"
"Tomcat03","-3240","825","14057","842"
"Tomcat03","-3180","883","15379","866"
"Tomcat03","-3120","841","19061","1018"
"Tomcat03","-3060","704","11493","2109"
"Tomcat03","-3000","752","13889","1059"
"Tomcat03","-2940","850","23355","4105"
"Tomcat03","-2880","987","25296","2113"
"Tomcat03","-2820","626","373072","29505"
"Tomcat03","-2760","718","24926","3582"
"Tomcat03","-2700","804","47608","3611"
"Tomcat03","-2640","843","40964","2917"
"Tomcat03","-2580","954","20427","1062"
"Tomcat03","-2520","1119","41394","1586"
"Tomcat03","-2460","982","29630","2147"
"Tomcat03","-2400","922","33140","1976"
"Tomcat03","-2340","973","34284","1496"
"Tomcat03","-2280","734","31785","2115"
"Tomcat03","-2220","972","35098","2906"
"Tomcat03","-2160","901","28885","1106"
"Tomcat03","-2100","763","35061","2513"
"Tomcat03","-2040","781","23347","2242"
"Tomcat03","-1980","786","15192","1053"
"Tomcat03","-1920","974","28677","1104"
"Tomcat03","-1860","944","362895","11975"
"Tomcat03","-1800","918","233218","10942"
"Tomcat03","-1740","762","172575","13917"
"Tomcat03","-1680","860","39545","2288"
"Tomcat03","-1620","967","149619","8976"
"Tomcat03","-1560","895","40696","3062"
"Tomcat03","-1500","676","10415","1062"
"Tomcat03","-1440","673","21768","1155"
"Tomcat03","-1380","851","22684","1118"
"Tomcat03","-1320","902","27278","1956"
"Tomcat03","-1260","925","26030","1762"
"Tomcat03","-1200","981","29636","1523"
"Tomcat03","-1140","747","29475","2452"
"Tomcat03","-1080","958","62368","2537"
"Tomcat03","-1020","878","46960","2414"
"Tomcat03","-960","791","25103","2156"
"Tomcat03","-900","739","13238","1078"
"Tomcat03","-840","780","16286","1062"
"Tomcat03","-780","710","18647","1314"
"Tomcat03","-720","917","17370","1463"
"Tomcat03","-660","838","29707","2417"
"Tomcat03","-600","780","17798","3208"
"Tomcat03","-540","1002","35213","3095"
"Tomcat03","-480","829","37907","1153"
"Tomcat03","-420","680","51144","6552"
"Tomcat03","-360","648","18121","2897"
"Tomcat03","-300","595","9988","637"
"Tomcat03","-240","870","25180","1166"
"Tomcat03","-180","709","21439","2090"
"Tomcat03","-120","717","24168","1567"
"Tomcat03","-60","697","35500","1880"
"Tomcat03","0","702","27571","1460"
"Tomcat03","60","743","20203","1156"
"Tomcat03","120","779","33920","2080"
"Tomcat03","180","835","21551","1056"
"Tomcat03","240","852","27661","5026"
"Tomcat03","300","970","29300","1248"
"Tomcat03","360","770","20184","1163"
"Tomcat03","420","790","18825","1188"
"Tomcat03","480","755","17154","1155"
"Tomcat03","540","743","13160","952"
"Tomcat03","600","645","6789","1065"
"Tomcat03","660","647","11577","1755"
"Tomcat03","720","940","13343","1036"
"Tomcat03","780","728","14665","1240"
"Tomcat03","840","779","18584","1168"
"Tomcat03","900","778","19248","1300"
"Tomcat03","960","753","22834","1273"
"Tomcat03","1020","783","19739","1149"
"Tomcat03","1080","562","12493","1266"
"Tomcat03","1140","562","13133","1039"
"Tomcat03","1200","492","7987","717"
"Tomcat03","1260","521","5523","345"
"Tomcat03","1320","600","11164","1100"
"Tomcat03","1380","702","16802","1051"
"Tomcat03","1440","552","6219","520"
"Tomcat03","1500","851","16058","1063"
"Tomcat03","1560","877","18936","1279"
"Tomcat03","1620","1051","26819","1767"
"Tomcat03","1680","1003","38496","1911"
"Tomcat03","1740","958","25406","1885"
"Tomcat03","1800","911","17688","1563"
"Tomcat03","1860","750","16437","2356"
"Tomcat03","1920","846","19271","1155"
"Tomcat03","1980","903","14951","1367"
"Tomcat03","2040","936","24706","1237"
"Tomcat03","2100","846","32562","1719"
"Tomcat03","2160","660","19020","1157"
"Tomcat03","2220","711","11643","1967"
"Tomcat03","2280","801","40013","1705"
"Tomcat03","2340","957","38629","2014"
"Tomcat04","-3600","906","18572","2328"
"Tomcat04","-3540","821","15436","1503"
"Tomcat04","-3480","732","13450","2319"
"Tomcat04","-3420","874","24702","1425"
"Tomcat04","-3360","957","35405","2171"
"Tomcat04","-3300","932","20804","1089"
"Tomcat04","-3240","935","13397","1043"
"Tomcat04","-3180","728","9036","1018"
"Tomcat04","-3120","849","17163","1343"
"Tomcat04","-3060","798","17905","1068"
"Tomcat04","-3000","975","19023","1067"
"Tomcat04","-2940","935","18468","1070"
"Tomcat04","-2880","918","32551","1514"
"Tomcat04","-2820","727","383620","27115"
"Tomcat04","-2760","713","23997","2806"
"Tomcat04","-2700","852","61549","4821"
"Tomcat04","-2640","827","44040","2157"
"Tomcat04","-2580","1007","22252","1058"
"Tomcat04","-2520","996","29033","2229"
"Tomcat04","-2460","865","21389","2161"
"Tomcat04","-2400","997","33148","2070"
"Tomcat04","-2340","884","43590","2076"
"Tomcat04","-2280","794","36397","1957"
"Tomcat04","-2220","914","25752","2160"
"Tomcat04","-2160","860","39268","2468"
"Tomcat04","-2100","726","21162","2381"
"Tomcat04","-2040","783","24629","1600"
"Tomcat04","-1980","826","8809","840"
"Tomcat04","-1920","929","25979","1105"
"Tomcat04","-1860","818","287403","11492"
"Tomcat04","-1800","1103","271188","16837"
"Tomcat04","-1740","784","330544","26588"
"Tomcat04","-1680","896","33003","2127"
"Tomcat04","-1620","787","60487","8307"
"Tomcat04","-1560","796","34428","2292"
"Tomcat04","-1500","677","21602","1195"
"Tomcat04","-1440","732","14325","1413"
"Tomcat04","-1380","810","28699","3162"
"Tomcat04","-1320","893","34547","2164"
"Tomcat04","-1260","928","27705","1311"
"Tomcat04","-1200","931","17593","1060"
"Tomcat04","-1140","937","20697","1315"
"Tomcat04","-1080","799","41687","2902"
"Tomcat04","-1020","817","56869","3211"
"Tomcat04","-960","781","20087","2171"
"Tomcat04","-900","648","12189","1763"
"Tomcat04","-840","889","14461","1115"
"Tomcat04","-780","674","12960","2059"
"Tomcat04","-720","859","15418","1057"
"Tomcat04","-660","805","20430","2920"
"Tomcat04","-600","835","18888","2498"
"Tomcat04","-540","808","35042","3183"
"Tomcat04","-480","1015","76942","5424"
"Tomcat04","-420","796","40996","2405"
"Tomcat04","-360","639","19789","1130"
"Tomcat04","-300","673","10553","1056"
"Tomcat04","-240","822","23809","1270"
"Tomcat04","-180","775","17201","1172"
"Tomcat04","-120","721","17930","1426"
"Tomcat04","-60","709","22549","1412"
"Tomcat04","0","655","28165","1603"
"Tomcat04","60","712","30432","2110"
"Tomcat04","120","812","34907","1259"
"Tomcat04","180","823","19450","1438"
"Tomcat04","240","887","33578","1269"
"Tomcat04","300","1004","32930","2225"
"Tomcat04","360","899","40379","1944"
"Tomcat04","420","764","48534","2179"
"Tomcat04","480","671","20810","1712"
"Tomcat04","540","669","9150","611"
"Tomcat04","600","737","13898","1575"
"Tomcat04","660","656","14775","1555"
"Tomcat04","720","664","14919","1067"
"Tomcat04","780","811","31399","1971"
"Tomcat04","840","781","27430","2247"
"Tomcat04","900","845","13347","1144"
"Tomcat04","960","620","16333","1256"
"Tomcat04","1020","608","29994","1876"
"Tomcat04","1080","425","8552","935"
"Tomcat04","1140","522","11603","2057"
"Tomcat04","1200","425","7867","1039"
"Tomcat04","1260","661","7690","403"
"Tomcat04","1320","691","9896","1095"
"Tomcat04","1380","674","13585","1060"
"Tomcat04","1440","674","10347","1053"
"Tomcat04","1500","775","12890","1045"
"Tomcat04","1560","1017","18105","1124"
"Tomcat04","1620","902","24381","1237"
"Tomcat04","1680","1027","34746","2256"
"Tomcat04","1740","1018","26397","1973"
"Tomcat04","1800","904","20611","1165"
"Tomcat04","1860","767","19839","1112"
"Tomcat04","1920","877","24347","1435"
"Tomcat04","1980","842","15341","1064"
"Tomcat04","2040","912","21117","2587"
"Tomcat04","2100","956","42912","3058"
"Tomcat04","2160","669","14037","1023"
"Tomcat04","2220","833","26118","1953"
"Tomcat04","2280","806","35455","2171"
"Tomcat04","2340","826","32648","2020"
"Tomcat04","2400","14","803","353"
